price,RSI,100D_MA,MACD,US_10y_yield,US_2y_yield,market_sentiment
589.3168334960938,67.11010821480545,543.8675579833985,5.958993008970651,4.076000213623047,3.52,15.720000267028809
594.6306762695312,71.1091696712244,545.0990316772461,6.483726801187572,4.104000091552734,3.57,15.699999809265137
598.6559448242188,73.71624668133751,546.3722549438477,7.142058439894527,4.138999938964844,3.57,15.449999809265137
602.2000122070312,75.78790443089572,547.6497897338867,7.8591719829247495,4.14300012588501,3.61,16.100000381469727
598.2000122070312,69.16205977587678,548.8879232788086,8.012361545322392,4.119999885559082,3.53,16.639999389648438
596.0999755859375,65.90438859203304,550.0430978393555,7.873548605400629,4.146999835968018,3.57,16.18000030517578
593.530029296875,62.0524435884479,551.1012359619141,7.470055018523567,4.171999931335449,3.64,16.739999771118164
595.969970703125,64.19228870266925,552.2127075195312,7.263437932796251,4.186999797821045,3.63,15.289999961853027
598.72998046875,66.49393138532645,553.3968762207031,7.238955947415434,4.140999794006348,3.63,16.1200008392334
600.3699951171875,67.81766524900527,554.5785879516602,7.268107059628733,4.1479997634887695,3.6,16.280000686645508
603.25,70.05500352330104,555.7393133544922,7.43786279848598,4.105999946594238,3.55,16.290000915527344
605.72998046875,71.86861768004295,556.9280313110352,7.683933539559462,4.0879998207092285,3.55,16.6299991607666
603.1799926757812,67.35168497531578,557.8929022216797,7.585739982390919,4.11899995803833,3.58,16.649999618530273
607.7100219726562,70.85598515328131,558.825849609375,7.783730387409719,4.1620001792907715,3.6,16.3700008392334
604.510009765625,65.50708933633994,559.6959674072266,7.594875965853134,4.126999855041504,3.57,17.239999771118164
611.4400024414062,70.67071649028289,560.6296984863282,7.913181735455396,4.129000186920166,3.58,16.299999237060547
610.7000122070312,69.47472046437616,561.533480834961,8.013357328436314,4.1479997634887695,3.6,16.43000030517578
589.5,45.64286178883019,562.2202740478516,6.309353103248668,4.051000118255615,3.52,21.65999984741211
602.010009765625,55.37145521288288,563.0495281982422,5.9003550949805685,4.051000118255615,3.52,19.030000686645508
598.0,52.14952386502361,563.9108181762696,5.192787727199516,4.021999835968018,3.48,20.809999465942383
602.219970703125,55.10978945124435,564.8047293090821,4.915884600814707,4.046000003814697,3.5,20.639999389648438
599.989990234375,53.23556088172224,565.7238323974609,4.465026050147685,3.9760000705718994,3.41,25.309999465942383
603.9299926757812,56.077783954911745,566.5628082275391,4.375207995234291,4.006999969482422,3.46,20.780000686645508
611.5399780273438,61.00723417869656,567.5009320068359,4.862042162646276,3.9860000610351562,3.46,18.229999542236328
611.3800048828125,60.85262278772973,568.4272784423828,5.1752956650417445,3.9630000591278076,3.45,17.8700008392334
605.489990234375,55.296035710329406,569.3029058837891,4.891885751487166,3.953000068664551,3.45,18.600000381469727
610.5800170898438,58.7974336574739,570.1885272216797,5.020134990004749,3.990999937057495,3.48,17.299999237060547
617.0999755859375,62.81508018944996,571.0985418701172,5.583516296337962,3.996999979019165,3.48,16.3700008392334
628.0900268554688,68.40718555161831,572.1037896728516,6.837981337942438,3.996999979019165,3.48,15.789999961853027
632.9199829101562,70.50643438305187,573.1970471191406,8.128194245693749,3.9830000400543213,3.47,16.420000076293945
635.77001953125,71.70133951535169,574.267621459961,9.273769168883064,4.058000087738037,3.59,16.920000076293945
626.0499877929688,62.41402294938838,575.233212890625,9.290228253013083,4.0929999351501465,3.61,16.90999984741211
629.0700073242188,63.97533490055639,576.193984375,9.43816523876444,4.10099983215332,3.6,17.440000534057617
632.0800170898438,65.51300113860762,577.2028155517578,9.686627585100837,4.105999946594238,3.6,17.170000076293945
619.25,54.77985549393165,578.0708752441407,8.747425751444098,4.089000225067139,3.58,19.0
623.280029296875,57.15435386612151,579.0460815429688,8.23338191398284,4.1570000648498535,3.63,18.010000228881836
611.6699829101562,49.147660208885355,579.832055053711,6.810655755048629,4.0929999351501465,3.57,19.5
609.739990234375,47.94524131678197,580.6507092285157,5.464410422715332,4.0929999351501465,3.55,19.079999923706055
623.22998046875,56.04074579924794,581.6051623535157,5.423511899866412,4.110000133514404,3.58,17.600000381469727
621.5700073242188,54.9091219566905,582.564566040039,5.197242984111995,4.119999885559082,3.58,17.280000686645508
621.0800170898438,54.558906839352275,583.4650219726562,4.921651387726115,4.065000057220459,3.56,17.510000228881836
608.4000244140625,46.32474032997212,584.1574725341796,3.6381354632848115,4.111999988555908,3.58,20.0
608.8599853515625,46.63934255355693,584.8407391357422,2.62776362617808,4.1479997634887695,3.62,19.829999923706055
603.6599731445312,43.532833220417025,585.4214642333984,1.3913999466739142,4.132999897003174,3.6,22.3799991607666
596.3099975585938,39.52542983106009,585.9100103759765,-0.179440304199602,4.123000144958496,3.58,24.690000534057617
599.8699951171875,42.29619102606222,586.3986981201172,-1.1241222874839423,4.132999897003174,3.58,23.65999984741211
585.6699829101562,35.34073532627755,586.791831665039,-2.984211740618207,4.105999946594238,3.55,26.420000076293945
590.0700073242188,38.70434117705674,587.1909100341796,-4.056539572685665,4.063000202178955,3.51,23.43000030517578
605.1599731445312,48.58301789813653,587.6867504882813,-3.6466961326830187,4.038000106811523,3.46,20.520000457763672
608.8900146484375,50.698172728291816,588.261742553711,-2.9864827633358573,4.001999855041504,3.43,18.559999465942383
614.27001953125,53.659266583047234,588.8874383544921,-2.006013406234615,3.997999906539917,3.45,17.190000534057617
619.25,56.27701902911432,589.5238793945313,-0.8177154576511612,4.017000198364258,3.47,16.350000381469727
617.1699829101562,54.8825029451885,590.1475109863281,-0.04332138592633328,4.0960001945495605,3.54,17.239999771118164
622.0,57.51515194101759,590.831928100586,0.9491918157366399,4.085999965667725,3.51,16.59000015258789
623.52001953125,58.339029229218454,591.5114685058594,1.8372399925723357,4.057000160217285,3.49,16.079999923706055
622.9400024414062,57.87780004282871,592.1801153564453,2.4657978562302105,4.107999801635742,3.52,15.779999732971191
625.47998046875,59.39186490842213,592.8684686279297,3.1327767902661208,4.138999938964844,3.56,15.40999984741211
624.280029296875,58.32524832758257,593.4997741699219,3.5239148725634095,4.171999931335449,3.57,16.65999984741211
625.0499877929688,58.8360901103067,594.1441729736329,3.851624704563619,4.185999870300293,3.61,16.93000030517578
627.6099853515625,60.5668307552513,594.7851055908203,4.268700592376831,4.164000034332275,3.61,15.770000457763672
